District Code,State,Seat,Urban Pop.,Suburban Pop.,Rural Pop.,Total Pop.,Urban Pop. %,Suburban Pop. %,Rural Pop. %,Total Pop. %
california44,California,44,461058.1817829825,276934.6419015057,6003.053799736319,743995.8774842245,0.6197052910320173,0.37222604356080957,0.008068665407173048,1.0
california45,California,45,204398.2475145764,531846.3555269473,4636.613283517691,740881.2163250414,0.2758853146911235,0.7178564442017306,0.006258241107145986,1.0
california46,California,46,439730.21312670835,303692.63176379,5978.692879070043,749401.5377695684,0.5867751678699116,0.4052468756171297,0.007977956512958767,1.0
california47,California,47,149992.73265809705,494904.1692445712,4295.840584925548,649192.7424875937,0.23104499302218165,0.7623378033281526,0.006617203649665944,1.0
california48,California,48,80112.9081722629,499302.7064453948,139268.45134526986,718684.0659629276,0.11147166323344564,0.6947457583832819,0.19378257838327229,1.0
california49,California,49,104021.96506493354,575067.2201621139,30492.33355826121,709581.5187853086,0.14659621524952157,0.8104315077801605,0.04297227697031803,1.0
california50,California,50,230500.50974396593,432320.87783222675,24145.471693632117,686966.8592698247,0.3355336675032102,0.6293183899609648,0.0351479425358252,1.0
california51,California,51,220514.04865968446,466659.37290553714,6907.760131942769,694081.1816971644,0.3177064217768942,0.6723411975591437,0.00995238066396202,1.0
california52,California,52,336526.51637768396,375699.3806309019,10208.985929741546,722434.8829383274,0.465822628897631,0.5200460131476992,0.014131357954669894,1.0
colorado01,Colorado,1,340886.4919615389,261434.58259976315,2146.6819219938734,604467.7564832959,0.5639448726674292,0.43250376847352606,0.003551358859044776,1.0
colorado02,Colorado,2,128881.60485542752,388639.23307011416,117936.95186616517,635457.7897917068,0.2028169406777953,0.6115893759009612,0.18559368342124355,1.0
colorado03,Colorado,3,150708.1636389595,265519.63641866314,279783.727011631,696011.5270692536,0.21653113170920793,0.3814874123374163,0.4019814559533758,1.0
colorado04,Colorado,4,57615.65523598042,367667.90927517926,169224.8759417969,594508.4404529566,0.09691309881501933,0.6184401839527336,0.284646717232247,1.0
colorado05,Colorado,5,124762.39781472008,447264.5797197448,42278.43754162084,614305.4150760857,0.20309506436512115,0.7280817794261966,0.06882315620868226,1.0
colorado06,Colorado,6,142559.137164515,477258.7876095174,10042.812845781535,629860.737619814,0.2263343762356627,0.7577211264398455,0.015944497324491765,1.0
colorado07,Colorado,7,89968.58211452371,457720.6400791275,105560.08864817186,653249.3108418231,0.13772472564660476,0.7006829283742778,0.16159234597911737,1.0
colorado08,Colorado,8,117080.56646018091,433009.2138951154,50942.29627355384,601032.0766288502,0.19479919793445666,0.7204427695836734,0.08475803248186996,1.0
connecticut01,Connecticut,1,165661.36811881472,499470.9349582702,53834.21515754233,718966.5182346273,0.23041597058731578,0.6947068080231144,0.07487722138956975,1.0
connecticut02,Connecticut,2,67236.27844988683,389697.8510113112,262653.78463913576,719587.9141003338,0.09343719805793169,0.5415569708373045,0.36500583110476387,1.0
connecticut03,Connecticut,3,194896.9993544685,465143.3905336708,50954.34564944513,710994.7355375844,0.2741187657417836,0.6542149572766879,0.0716662769815285,1.0
connecticut04,Connecticut,4,222130.685094271,431784.72830685833,34423.51036321963,688338.923764349,0.3227053961724194,0.6272850675733088,0.050009536254271784,1.0
connecticut05,Connecticut,5,118339.83956088359,459124.3879537388,126026.28980812144,703490.5173227438,0.16821810194577538,0.6526376356869983,0.1791442623672264,1.0
delaware01,Delaware,1,152562.30840840653,540764.0944889137,196287.61994865187,889614.0228459721,0.17149269738390938,0.6078637258425293,0.2206435767735612,1.0
florida01,Florida,1,102305.73479549742,406841.57580468926,145581.2476769872,654728.5582771739,0.156256716622688,0.6213896899124663,0.2223535934648456,1.0
florida02,Florida,2,126695.02032165151,296658.1317543266,312989.71881342615,736342.8708894043,0.17205981796037592,0.40288042905338783,0.4250597529862361,1.0
florida03,Florida,3,103508.90284010199,260433.89513440628,336392.3595722937,700335.157546802,0.14779909551118703,0.3718703713900041,0.4803305330988089,1.0
florida04,Florida,4,171936.74867980165,334557.7410135613,120914.92607550649,627409.4157688695,0.2740423467650686,0.5332367232703575,0.19272092996457385,1.0
florida05,Florida,5,92451.35962804189,457432.46497226646,24622.022352215874,574505.8469525242,0.16092327017810465,0.7962189895868329,0.04285774023506254,1.0
florida06,Florida,6,99344.95763886771,369497.7142832853,216056.41532492288,684899.087247076,0.14505050377301673,0.5394921984324236,0.31545729779455955,1.0
florida07,Florida,7,86863.07767628125,542703.4127062153,51378.8921734116,680945.382555908,0.12756247402727555,0.7969852305469703,0.07545229542575423,1.0
florida08,Florida,8,82225.23567349286,522290.641639276,81934.63749415905,686450.5148069279,0.11978319470940983,0.7608569450722552,0.11935986021833506,1.0
